episode,reward
0,-0.50975
100,-0.49675
200,1.37175
300,1.27325
400,1.4725
500,1.7415
600,1.75825
700,1.66075
800,1.716
900,1.84125
1000,1.806
1100,1.706
1200,1.59325
1300,1.6275
1400,1.45925
1500,1.20275
1600,1.32575
1700,1.19925
1800,1.199
1900,1.253
2000,1.45125
2100,1.486
2200,1.54675
2300,1.6425
2400,1.47375
2500,2.054
2600,1.59825
2700,1.89375
2800,2.002
2900,1.88675
3000,1.71525
3100,1.8225
3200,2.08575
3300,1.89525
3400,2.298
3500,2.35725
3600,2.1835
3700,2.1445
3800,2.09175
3900,2.18575
4000,2.25325
4100,2.06375
4200,2.17075
4300,2.3
4400,2.28975
4500,2.20025
4600,2.0685
4700,2.31375
4800,2.3385
4900,2.33425
5000,1.98225
5100,2.15325
5200,1.9245
5300,2.068
5400,1.8815
5500,1.95275
5600,2.09975
5700,1.8945
5800,1.858
5900,1.98875
6000,2.1845
6100,2.19925
6200,2.06225
6300,2.2145
6400,2.28025
6500,1.96475
6600,2.13225
6700,2.174
6800,2.17025
6900,2.199
